141,server2.infn.it,131.154.1.3,41.883,12.500,IT.INFN.N16,INFN,infn.it,ZN
142,ping.rmki.kfki.hu,148.6.176.200,47.500,19.083,HU.KFKI.N1,KFKI Research Institute for Particle and Nulear Physics,rmki.kfki.hu,B
143,grpmail1.mail.vanderbilt.edu,129.59.1.112,36.161,-86.750,EDU.VANDERBILT.N1,Vanderbilt University,vanderbilt.edu,Z
144,nuclear.physics.sunysb.edu,129.49.30.2,40.9150,-73.1199,EDU.SUNYSB.N2,Stony Brook Physics and Astronomy,sunysb.edu,Z
145,www.hepi.edu.ge,217.147.226.4,41.750,44.9,GE.HEPI.EDU.N1,High Energ Institute,hepi.edu.ge,NOT-SET
146,argus.stanford.edu,171.64.7.115,37.428607,-122.169344,EDU.STANFORD.N1,Stanford University,stanford.edu,NOT-SET
147,eltca1.epfl.ch,128.178.128.21,46.5207,6.5682,CH.EPFL.N1,EPFL,epfl.ch,B
148,znsun1.ifh.de,141.34.1.16,52.270,13.180,DE.IFH.N1,Deutsches Elektronen-Synchrotron,ifh.de,NOT-SET
149,cache.kr.apan.net,203.255.248.3,37.550,126.967,cache.kr.apan.net,Asia-Pacific  Advanced Network Korea Consortium,cache.kr.apan.net,Z
150,ns.concentric.net,207.155.183.72,37.323,-122.017,concentric.net,XO Communications???,concentric.net,Z
151,ns.kotis.net,203.233.202.33,37.550,126.967,kotis.net,Korea Trade Infromation Services,kotis.net,Z
152,noc.kr.apan.net,203.255.248.51,37.57,127,noc.kr.apan.net,NOT-SET,noc.kr.apan.net,Z
153,ns.uu.net,137.39.1.3,38.845,-77.300,uu.net,UUNET-Worldcom,uu.net,Z
154,ns.kornet.ne.kr,211.216.50.150,37.550,126.967,kornet.ne.kr,KORNET,kornet.ne.kr,Z
155,ns.psi.net,38.8.48.2,38.970,-77.383,psi.net,PSINet,psi.net,Z
156,domen.uninett.no,158.38.62.25,59.933,10.750,NO.UNINETT.N1,Norwegian Academic Network for Research and Education,uninett.no,Z
157,ns.hana.ne.kr,220.90.238.66,37.550,126.967,hana.ne.kr,NOT-SET,hana.ne.kr,Z
158,ns.kreonet.re.kr,134.75.30.1,37.550,126.967,kreonet.re.kr,Korea Research Environment Open Network,kreonet.re.kr,Z
159,ns.krnic.net,202.30.50.50,37.550,126.967,krnic.net,NOT-SET,krnic.net,Z
160,www.netvalley.net,216.187.103.168,37.57,127,netvalley.net,NOT-SET,netvalley.net,Z
161,ns2.jp.apan.net,203.181.248.30,37.550,126.967,NET.APAN.N1,Asia-Pacific Advanced Network,ns2.jp.apan.net,Z
162,ns.hanarotel.net,210.180.98.85,37.57,127,hanarotel.net,Hananet,hanarotel.net,Z
163,ns.shinbiro.net,202.30.143.11,37.550,126.967,shinbiro.net,Shinbiro,shinbiro.net,Z
164,ns.thrunet.co.kr,210.117.65.100,37.550,126.967,thrunet.co.kr,NOT-SET,thrunet.co.kr,Z
165,ns.bora.net,164.124.101.2,37.550,126.967,bora.net,Boranet,bora.net,Z
166,www.channeli.net,210.112.192.30,37.57,127,channeli.net,NOT-SET,channeli.net,Z
167,ns.netsgo.com,210.115.125.37,37.550,126.967,netsgo.com,Netsgo,netsgo.com,Z
168,ns.demon.co.uk,158.152.1.193,51.500,-0.167,demon.co.uk,Demon,demon.co.uk,Z
169,ns.above.net,207.126.96.162,37.335,-121.867,above.net,Metromedia Fiber Network,above.net,Z
170,ns.digex.net,164.109.1.3,39.005,-76.867,digex.net,Digex,digex.net,Z
171,ns.hitel.net,203.245.15.2,37.550,126.967,hitel.net,Hitel,hitel.net,Z
172,ns.uchicago.edu,128.135.12.23,41.883,-87.617,uchicago.edu,University of Chicago,uchicago.edu,Z
173,skitter.kaist.kr.apan.net,192.249.24.30,37.550,126.967,kaist.kr.apan.net,Asia-Pacific Advanced Network,kaist.kr.apan.net,Z
174,ns.kiev.ua,193.29.220.3,50.500,30.467,UA.KIEV.N1,Kyiv Navigator,kiev.ua,NOT-SET
175,julius.ktl.mii.lt,193.219.50.3,54.567,25.317,LT.MII.N1,Lithuania Academic and Research Network Litnet,mii.lt,B
176,ba.sanet.sk,192.108.138.12,48.200,16.550,SK.SANET.N1,Slovak Academic Network,sanet.sk,B
177,kadri.ut.ee,193.40.5.94,58.29,26.30,EE.UT.N1,University of Tartu,ut.ee,B
